Year,Winter Mean Temperature,Winter Precipitation,Spring Mean Temperature,Spring Precipitation,Fall Mean Temperature,Fall Precipitation
1940,-8.649450549450549,0.41098901098901097,4.308045977011495,1.549425287356322,6.69390243902439,1.4292682926829268
1941,-6.771111111111111,0.33,5.493181818181818,1.1954545454545455,5.2122222222222225,0.6688888888888889
1942,-6.838888888888889,0.7111111111111111,4.331868131868132,0.9186813186813186,5.667469879518072,1.091566265060241
1943,-6.593333333333333,0.49777777777777776,4.841463414634147,1.1317073170731706,7.150549450549451,0.46593406593406594
1944,-5.364835164835164,0.3769230769230769,6.666666666666667,1.376543209876543,6.956179775280899,0.44044943820224725
1945,-8.226666666666667,0.8444444444444444,2.99438202247191,1.753932584269663,6.061842105263158,1.8013157894736842
1946,-6.427777777777778,0.4177777777777778,5.684782608695652,0.8119565217391305,5.550632911392405,1.0759493670886076
1947,-7.319999999999999,0.7344444444444443,6.224691358024692,0.9296296296296296,5.370588235294117,1.2623529411764705
1948,-9.782417582417583,0.7967032967032966,2.6961538461538463,2.458974358974359,6.196703296703297,0.24505494505494507
1949,-14.530000000000001,1.0044444444444443,6.2897727272727275,0.3522727272727273,6.971111111111111,0.5444444444444444
1950,-12.915555555555557,0.3655555555555555,3.37375,0.89,4.647560975609756,0.7292682926829268
1951,-11.657303370786517,0.7629213483146068,5.225641025641026,1.4846153846153847,3.3,1.1611764705882353
1952,-8.381318681318682,0.489010989010989,5.88375,0.9974999999999999,6.605555555555555,0.39888888888888885
1953,-6.031111111111111,1.0344444444444443,2.6839080459770117,1.5770114942528735,6.943956043956043,0.3901098901098901
1954,-7.742222222222222,0.7877777777777778,1.7602564102564104,1.478205128205128,6.230769230769231,0.39780219780219783
1955,-9.702222222222222,0.8166666666666667,3.75,1.9657894736842105,5.475342465753425,0.9136986301369864
1956,-11.064835164835165,0.7384615384615385,3.9313953488372095,0.8267441860465116,5.006593406593407,0.5978021978021978
1957,-8.912222222222223,0.4888888888888889,4.780898876404494,0.702247191011236,4.801149425287356,1.0781609195402297
1958,-5.602222222222222,0.37777777777777777,5.501250000000001,0.9650000000000001,6.582142857142857,0.8869047619047619
1959,-8.209999999999999,0.4766666666666666,4.095604395604395,0.8835164835164834,4.511904761904762,0.7130952380952381
1960,-7.364835164835165,0.756043956043956,5.286585365853658,1.0609756097560976,5.985057471264368,0.49540229885057474
1961,-6.123333333333334,0.5355555555555556,5.060919540229885,0.9850574712643678,3.9965116279069766,0.7616279069767442
1962,-7.338888888888889,0.34555555555555556,5.289285714285715,0.9452380952380953,6.904395604395604,0.45164835164835165
1963,-7.546666666666667,0.6066666666666667,4.502173913043478,0.5760869565217391,8.259302325581395,0.7302325581395349
1964,-8.024175824175824,0.310989010989011,4.6414634146341465,0.9914634146341463,5.810588235294118,1.0599999999999998
1965,-9.891111111111112,0.3966666666666667,4.273417721518988,0.8455696202531645,4.530487804878049,1.4390243902439024
1966,-11.062222222222223,0.24000000000000002,4.603488372093023,1.1965116279069767,6.03125,0.475
1967,-8.313333333333334,0.5077777777777778,1.7011904761904764,1.1714285714285713,7.00561797752809,0.296629213483146
1968,-10.235164835164834,0.4461538461538462,4.183516483516484,0.9593406593406593,5.182022471910113,0.9258426966292134
1969,-13.707777777777778,0.33,5.404651162790698,1.0511627906976744,5.006741573033708,0.9764044943820225
1970,-9.931111111111111,0.3533333333333333,4.110588235294117,0.7811764705882351,5.128395061728395,0.7493827160493828
1971,-10.97111111111111,0.6933333333333334,4.707058823529412,0.6611764705882353,4.687356321839081,0.7827586206896551
1972,-13.872527472527473,0.8197802197802198,5.17816091954023,0.674712643678161,2.7711111111111113,0.8888888888888888
1973,-7.117777777777778,0.3433333333333333,4.620652173913044,0.6945652173913043,6.088571428571428,0.5671428571428572
1974,-6.742222222222222,0.35555555555555557,3.52,1.6294117647058823,5.6912087912087905,0.6054945054945055
1975,-8.912222222222223,0.6088888888888888,2.79,1.24375,6.213095238095238,0.5023809523809524
1976,-4.776923076923077,0.3098901098901099,6.360919540229885,0.886206896551724,5.9511111111111115,0.8311111111111111
1977,-6.892222222222221,0.40444444444444444,5.135869565217392,1.184782608695652,5.23855421686747,1.0168674698795181
1978,-12.035555555555556,0.5322222222222222,4.629885057471265,1.857471264367816,6.532926829268293,1.2426829268292683
1979,-11.615555555555556,0.33666666666666667,3.204444444444444,0.9444444444444444,6.873033707865169,0.4921348314606741
1980,-9.920879120879121,0.4571428571428572,6.073255813953488,1.466279069767442,6.961111111111111,0.94
1981,-3.9955555555555557,0.19333333333333333,5.905494505494505,1.4120879120879122,6.446153846153846,0.9373626373626374
1982,-11.526666666666667,0.45666666666666667,3.7382716049382716,1.3358024691358026,5.2953488372093025,0.8406976744186047
1983,-7.976666666666667,0.3088888888888889,4.25,0.9677777777777778,5.618604651162791,0.3569767441860465
1984,-5.194505494505495,0.2175824175824176,5.1770114942528735,1.0655172413793104,3.2939024390243907,1.5634146341463413
1985,-5.3788888888888895,0.3111111111111111,5.9255555555555555,0.54,4.358904109589041,0.7191780821917808
1986,-3.5144444444444445,0.14666666666666667,6.218681318681319,0.8967032967032966,5.314814814814815,1.248148148148148
1987,-1.8166666666666667,0.1,6.174725274725274,0.6065934065934067,7.767777777777778,0.4066666666666667
1988,-5.814285714285715,0.14835164835164835,6.560869565217391,0.40543478260869564,5.9911111111111115,0.6422222222222221
1989,-7.808888888888888,0.64,4.6234567901234565,0.8271604938271605,5.692222222222222,0.7177777777777777
1990,-7.285555555555556,0.2633333333333333,5.225555555555555,1.441111111111111,5.745348837209303,0.32906976744186045
