Year,Spring Mean Temperature,Spring Precipitation
1940,4.308045977011495,1.549425287356322
1941,5.493181818181818,1.1954545454545455
1942,4.331868131868132,0.9186813186813186
1943,4.841463414634147,1.1317073170731706
1944,6.666666666666667,1.376543209876543
1945,2.99438202247191,1.753932584269663
1946,5.684782608695652,0.8119565217391305
1947,6.224691358024692,0.9296296296296296
1948,2.6961538461538463,2.458974358974359
1949,6.2897727272727275,0.3522727272727273
1950,3.37375,0.89
1951,5.225641025641026,1.4846153846153847
1952,5.88375,0.9974999999999999
1953,2.6839080459770117,1.5770114942528735
1954,1.7602564102564104,1.478205128205128
1955,3.75,1.9657894736842105
1956,3.9313953488372095,0.8267441860465116
1957,4.780898876404494,0.702247191011236
1958,5.501250000000001,0.9650000000000001
1959,4.095604395604395,0.8835164835164834
1960,5.286585365853658,1.0609756097560976
1961,5.060919540229885,0.9850574712643678
1962,5.289285714285715,0.9452380952380953
1963,4.502173913043478,0.5760869565217391
1964,4.6414634146341465,0.9914634146341463
1965,4.273417721518988,0.8455696202531645
1966,4.603488372093023,1.1965116279069767
1967,1.7011904761904764,1.1714285714285713
1968,4.183516483516484,0.9593406593406593
1969,5.404651162790698,1.0511627906976744
1970,4.110588235294117,0.7811764705882351
1971,4.707058823529412,0.6611764705882353
1972,5.17816091954023,0.674712643678161
1973,4.620652173913044,0.6945652173913043
1974,3.52,1.6294117647058823
1975,2.79,1.24375
1976,6.360919540229885,0.886206896551724
1977,5.135869565217392,1.184782608695652
1978,4.629885057471265,1.857471264367816
1979,3.204444444444444,0.9444444444444444
1980,6.073255813953488,1.466279069767442
1981,5.905494505494505,1.4120879120879122
1982,3.7382716049382716,1.3358024691358026
1983,4.25,0.9677777777777778
1984,5.1770114942528735,1.0655172413793104
1985,5.9255555555555555,0.54
1986,6.218681318681319,0.8967032967032966
1987,6.174725274725274,0.6065934065934067
1988,6.560869565217391,0.40543478260869564
1989,4.6234567901234565,0.8271604938271605
1990,5.225555555555555,1.441111111111111
1991,5.369411764705882,1.388235294117647
1992,6.33804347826087,0.8554347826086957
1993,5.72,0.8938461538461538
1994,6.270652173913043,0.9043478260869565
1995,5.16547619047619,1.236904761904762
1996,4.2075000000000005,1.17
1997,4.848148148148148,1.4666666666666666
1998,6.005813953488372,2.0558139534883724
1999,4.725842696629214,1.4719101123595506
2000,4.3439560439560445,0.7197802197802198
2001,5.628089887640449,0.6808988764044944
2002,3.2098591549295774,0.856338028169014
2003,5.1839506172839505,1.5740740740740742
2004,5.796666666666667,0.8933333333333334
2005,5.967777777777778,0.43333333333333335
2006,5.726744186046512,0.8023255813953488
2007,5.0,1.7230769230769232
2008,4.212087912087912,1.5626373626373624
2009,4.077011494252873,0.735632183908046
2010,5.11195652173913,1.2728260869565218
2011,3.7951807228915664,1.959036144578313
2012,5.1521739130434785,1.5956521739130436
2013,4.915254237288136,1.3084745762711865
2014,4.660975609756098,1.223456790123457
2015,6.614285714285714,0.5831460674157303
2016,7.529347826086957,0.8358695652173912
2017,6.867073170731707,1.292857142857143
2018,5.618987341772152,1.0679012345679013
2019,5.690476190476191,0.8083333333333332
2020,5.505709488809778,1.058136211460147
